rank,contribution,share_percent_of_total,activity_key,activity_name,activity_location,activity_db,activity_code
11,-0.28709224834351443,1.2865001257050928,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '11ba24f1db0c4ab5bb9ca61df798d234')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-SERC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,11ba24f1db0c4ab5bb9ca61df798d234
12,-0.2797887353445767,1.253772072455882,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '73261bac87d74e73a1b667d6823a34af')","quicklime production, in pieces, loose",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,73261bac87d74e73a1b667d6823a34af
13,-0.2608776800046438,1.1690290143886044,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '7855a690cbb24da3a01b089010fa94b6')",pig iron production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,7855a690cbb24da3a01b089010fa94b6
14,-0.25794430920399675,1.1558841735733394,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '5e74206e03324054b97813c64dd67a4f')","sweet gas, burned in gas turbine",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,5e74206e03324054b97813c64dd67a4f
15,-0.2087685563137092,0.9355208142697488,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'ef68ca3590ed48a3926baeccc3682ef6')","heat production, light fuel oil, at industrial furnace 1MW",RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,ef68ca3590ed48a3926baeccc3682ef6
16,-0.19329727584294984,0.8661918637833005,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'a4f3a194911e42af8774291d5ca9d7bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",US-WECC,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,a4f3a194911e42af8774291d5ca9d7bd
17,-0.1910911348007785,0.8563058402335437,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '071109506eed434a9b50e77ba822f3bd')","heat and power co-generation, natural gas, combined cycle power plant, 400MW electrical",IT,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,071109506eed434a9b50e77ba822f3bd
18,-0.18811573559887762,0.8429726643315313,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', '68fd7ec5c59d4534911a247e06dc5220')","heat and power co-generation, hard coal",RU,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,68fd7ec5c59d4534911a247e06dc5220
19,-0.18390329013795897,0.8240961128179798,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'd3adb46255a74389b2459797ced5837c')",clinker production,RoW,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,d3adb46255a74389b2459797ced5837c
20,-0.17357682285576106,0.7778217827610385,"('prospective_conseq_IMAGE_SSP1VLLO_2050_PERF', 'f27e9362374d4a99972821b57c85e9d4')","treatment of municipal solid waste, unsanitary landfill, wet infiltration class (500mm)",GLO,prospective_conseq_IMAGE_SSP1VLLO_2050_PERF,f27e9362374d4a99972821b57c85e9d4
